,sentence
0,"The sentence you are given might be too wordy, complicated, or unclear. Rewrite the sentence and make your writing clearer by keeping it concise. Whenever possible, break complex sentences into multiple sentences and eliminate unnecessary words."
1,"Analyze the word choice, phrasing, punctuation, and capitalization in the given email. How may the writer of this email sound to the reader? These tones include Disheartening, Accusatory, Worried, Curious, Surprised, Disapproving, Unassuming, Formal, Assertive, Confident, Appreciative, Concerned, Sad, Informal, Regretful, Encouraging, Egocentric, Joyful, Optimistic, and Excited."
2,"Rewrite the given text and correct grammar, spelling, and punctuation errors."
3,"You are given a paper citation, convert it to the requested citation style."
4,"Desk jobs require writing a lot of emails, so it isn't surprising we get tired of repeating ourselves. Come up with several synonyms for the given word."
5,"If you could help me write an email to my friends inviting them to dinner on Friday, it would be greatly appreciated."
6,The tone of the email should be changed and rewritten in a more professional manner.
7,Write a social media post about the call for collaboration on a crowdsourcing project in a persuasive way.
8,My favorite witty review of The Rings of Power series is this:
9,A helpful writing exercise is writing a story without using adjectives or adverbs. This will help you learn to use other words and phrases to describe what you are trying to say. Here are some examples:
10,Come up with some search queries on google about coding stuff.
11,Discover the most relevant StackOverflow questions for your search term. And output a list of their URLs.
12,You are given an algorithm or a search query about coding. Look for a code snippet related to the search query.
13,"You are provided with a description of the code, specifications, or prompts. Your help is needed in automating code generation to speed up the development process."
14,"When you're stuck on a coding problem, the best place to look for help is in the documentation. Read the docs carefully and see if there's a section that covers your specific issue. Often, the answer will be right there in front of you. If not, try searching for key terms related to your problem. Come up with the useful links about the given search term."
15,"We have entered the home supplies budget in the following table. Calculate the last column with the given function and rewrite the completed table.
Note that, columns in a row are separated using a comma, and rows are separated using a ""|""."
16,Please write the Excel function name associated with each description.
17,What are the steps to using random (yet coherent) text as filler content within your Word document?
18,"Design a soothing pastel color palette for your slides. Pastel colors generally come across as pretty and delicate, so you’ll want to make sure your presentation calls for a similar mood. Choose up to five colors or color codes."
19,"I bought two shirts from the store and each one cost me $10. I also bought a pair of pants and they cost me $20. Then, I bought a dress and it cost me $30. Also,  I bought a pair of shoes and they cost me $40. Lastly, I bought a jacket and it cost me $50.

Make a table chart showing items, the number, and the price of these items. Separate columns with ""|""."
20,"Find sentences from reliable sources such as the Guardian or Forbes that contain the exact match for the given sentence or phrase. Also, mention the source of each sentence."
21,"During writing, we added an asterisk for the word that did not come to mind. You will need to provide several examples to demonstrate all the words that can be used in the sentence instead of the asterisk."
22,Think of alternatives and paraphrases for the underlined word.
23,Design a skill assessment questioner for R (Programming Language).
24,Write a template for First-Person LinkedIn profile summary.
25,Write a LinkedIn post to announce that you have accepted a new job offer.
26,Make a list of desirable Skills for software engineers to add to LinkedIn.
27,You will be asked to answer the following question as part of the LinkedIn Skill assessments.
28,"Take the title of the product and extract its attributes. The attributes in this case refer to the characteristics of the products, such as their brand and color. Your answer must a list following the format of ""attribute: value""."
29,You should write a Product Description that will persuade the buyer that the product is beneficial.
30,What other Amazon products might interest someone who visited the given product?
31,"Compare the given item with similar products based on its properties such as price, rating, etc. For product comparison, use a table and separate the columns with ""|""."
32,Write a  review based on the given information.
33,Write a short description about the given movie or series.
34,Think of some series or movies that would be enjoyable for someone who liked the given series.
35,Give examples of popular shows and movies in the genre.
36,In what genres does the given movie or series fall?
37,Give a brief description of the given category of movies and shows.
38,Provide an example of how a table of contents can be generated automatically in a LATEX document. Make sure your example contains the necessary commands.
39,Imagine you have a FEN notation of a chessboard. How can you draw a board to show this state of the chessboard in LATEX? Create a LATEX code that includes all the required commands and packages.
40,What is the output of the given LATEX code?
41,You should find a few LATEX templates appropriate for the task at hand and list the links to them.
42,"Write a simple guide for uploading the bibliography database
 on Overleaf."
43,Choose Spotify playlists that match the given mood. Provide a link to these playlists for easy access.
44,Curate a Spotify playlist based on the vibe. Publish this playlist as a song list.
45,How would you describe the meaning of this lyrics? Describe some of the metaphors.
46,Suggest some Audiobooks for First-Time Listeners. You can attract them by choosing popular works.
47,Make a list of the most popular podcasts.
48,You should take the time to read the situation and problem carefully and give the best advice you can.
49,You are given a description that provides a set of facts or a scenario. It is up to you to craft a story from these facts and scenarios. The missing pieces must be filled in with imaginative but logical information.
50,"Based on the given query, suggest some related search queries."
51,Please suggest a few papers to consider based on the search term given. The names of the papers should be listed.
52,Prepare an email signature template for the given person or company.
53,"React properly to reviews from your customers. In your responses, you can highlight your business' policies and customer service."
54,Write a good Twitter Bio. Try to cover all the provided main points in your generated bio.
55,We need to write a thematic tweet to share company news and facts. Please take a careful look at the facts and details provided and create a tweet based on them.
56,"A job description is a document that clearly states the requirements, duties, responsibilities, and skills required to perform a specific role. You need to write a job description based on the given information. You should describe responsibilities and duties in your job description in a logical order. Remember that potential employees often get their first impression of your company from your job description. So, the job description should convey the attractiveness of your company."
57,"Considering the reason for the rejection, write a polite rejection letter for rejecting a candidate."
58,We've already decided on the title and topic for our blog post. I would appreciate it if you wrote an introduction paragraph to attract the readers' attention.
59,Design an outline for a blog post based on the given information and list the sections accordingly.
60,Write a section for a blog post and try to cover all of the provided information about this section in your text.
61,"Create a detailed caption for an Instagram post about a discount. A proper caption should explain the product, offer the discount, and tell the user how to claim it."
62,Create a captivating Instagram caption based on the provided details. Try to think of as many captions as you can.
63,You are given a topic for an Instagram post. Help the post reach a broader audience by suggesting hashtags related to the post.
64,Use appropriate emojis to convey the meaning in the given text.
65,"The topic of a YouTube post has been described and based on the information, you need to write a hook for starting the post. A catchy hook will keep your readers interested so they keep reading. It would be great if you could come up with as many hooks as you can."
66,"Using the provided topic as a starting point, brainstorm ideas for videos that can be made about it on YouTube."
67,"You should choose a YouTube video title based on the video's content. A video's title tells viewers what to expect from it. It should be direct, honest, and clear. The title of the video needs to capture the attention of viewers, so do not use an unclear or ambiguous one."
68,"Choosing a name for your product or business YouTube channel is an important part of the process. Based on the description of the product or business, you should come up with some interesting names. Take some time to brainstorm your ideas."
69,Find the answer that best describes the underlined SAT word. Select the correct option and explain the meaning of the underlined word.
70,"Find synonyms for the given word. You need to write down how the provided synonyms differ from the original word in terms of meaning, usage, etc."
71,Discuss the origins and history of the word that has been given to you.
